,komentarz,nie,tak,klasa
0,"Dziwię się, że Niemcy działają opieszale w sprawie gwałtów przecież nie wyszli chyba z wprawy z radykalnych rozwiązań tzn. w obozach dla tych islamskich zwierząt  instalować przewoźne komory gazowe i po problemie.",3,28,1
1,Przywalić atomem tej islamskiej dziczy. Merkel powinna być powieszona publicznie.,2,7,1
2,"Tu trzeba jasno powiedzieć,wracasz albo kulka.",0,40,1
3,umrzesz za tydzień,16,0,1
4,"wybic do nogi prawie wszystkich arabów , pozostawiając kilku jako eksponaty",1,1,1
5,SPALIĆ MECZETY,1,1,1
6,"Czas odpalic piece i komory gazowe, szybko zboczencow muzulmanskich osądzać i w dym obracać.",1,14,1
7,Stryczek !,11,4,1
8,Bohater narodowy szkalowany przez prawicę która tylko nienawidzi! Śmierć popierającym PiS to antyludzie!,4,2,1
9,Proponuję wysłać do niego pluton specjalny z polonem.,12,6,1
10,zdrajcy na latarnie,1,2,1
11,Racja!!! PO pod mur!!!,2,1,1
12,na drzewo zielony liściu !!,0,2,1
13,Hitler popełnił okropny błąd powinien się wziąć za islamistów a nie całaresztę,0,68,1
14,"Ciekawe czy się tak będzie śmiał jak zawiśnie za jaja na latarni przed belwederem,",1,0,1
15,"Serio? Imigranci się źle zachowuja?
Teraz wszyscy zdziwieni. To dopiero początek niestety. Hitler, zbudz się i zrób porządek!",2077,1763,1
16,"Kulka w łeb każdemu imigrantowi i dowiedzenia. Tanio, i skutecznie.",52,28,1
17,humanizm zgubi Europę czas zacząć o Nią dbać a nie o ludzi którzy na to nie zasługują .Słowem więcej Azotoxu,0,21,1
18,razem z  ta szantrapą  powinieneś wisieć za zdradę  OJCZYZNY KASZUBI POWINNI SIĘ TOBĄ ZAJĄC,53,26,1
19,widze betonowe buty i rybe.,1,0,1
20,dla takich jak Gliński powinna byc przywrócona kara smierci,5,4,1
21,ZDRAJCA!!!!!! POWIESIĆ!!!!!!,12,4,1
22,Za defetyzm i zdradę stanu ks dla każdego.,1,0,1
23,Tusk  zdrajco  dawno  powinieneś wisiec,10,3,1
24,Na pana czeka pluton egzekucyjny po kilku pokazowych procesach.,32,12,1
25,Mam pomysł jak się nie mogą pohamować w cudzym kraju to ich od razu kastrowac albo nie wpuszczać jak inne kraje i mam takie pytanie dlaczego do Putina nie zawitaja?,710,411,1
26,A jakby na nawóz ich przerobić..,1,1,1
27,"Co za głupota twierdzić że kobiety były nieskromnie ubrane, to była zima, sylwester, z pewnością miały płaszcze i kurtki! Gdyby mnie to spotkało, stworzyłabym grupkę bojową obcinającą zbokom genitalia. Dość tych śliniących się oblechów ze wschodu. Zwierzęta.",0,43,1
28,Zdrajca będzie wisiał,10,3,1
29,Proponuje urochomic Oswiecim dla takich zdrajcow z Po i Nw!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,53,27,1
30,tą rudą marionetkę powinni głęboko zakopać i przysypać wapnem żeby się nie wykopał,84,45,1
31,Czym grozi zdrada Państwa? Jeszcze niedawno to była kara śmierci.,101,55,1
32,widze betonowe buty i rybe.,1,0,1
33,sPOkojnie niech PiS zgodnie z wola milionow polakow rozlicza przestepcow z PO PSL za sprzedanie polski i zrujnowanie jej obcym nam silom antypolskim!!!! na szafot z nimi!!!!,8,6,1
34,Zdrajca Polski na szafot z nim !!!!!!!!!!!!!!!!,32,12,1
35,razem z  ta szantrapą  powinieneś wisieć za zdradę  OJCZYZNY KASZUBI POWINNI SIĘ TOBĄ ZAJĄC,53,26,1
36,"Tusk, kiedy wrócisz do Polski, Polacy własnoręcznie Cię powieszą. Na nic innego nie zasługujesz i doskonale zdajesz sobie z tego sprawę. Zdrada kraju jest karana śmiercią.",86,48,1
37,Bohater narodowy szkalowany przez prawicę która tylko nienawidzi! Śmierć popierającym PiS to antyludzie!,4,2,1
38,"""Szanowni Panowie"" z ""państwa Islamskiego"", dla was jedyną opcją jest opcja Pana Wielowiejskiego z ""Wołodyjowskiego"", czyli wbicie na pal (powoli), dopuki będziemy przestrzegać praw człowieka wobec was, dopóty będziemy ponosić porażki!, wasza śmierć jest naszym życiem.",0,11,1
39,imigrantom powinni obcinać jądra by nie gwałcili,0,10,1
40,"W takich momentach brakuje takich ludzi jak Hitler. Choć nie jestem jego fanem, ale jedno robił dobrze redukował populacje, które narzucały swoje poglądy i zwyczaje większości.",1,0,1
41,Do gazu skurwysyny do gazu,1,0,1
42,"Menda Kurski zgnije w glebie już niedługo. Takich ludzi się odsuwa, przenosi ale nie wyrzuca.",19,6,1
43,Wiesław Dębski na dąb z tobom,2,0,1
